,Acres,DaysOnMkt,Deck,GaragCap,HOAFee,Latitude,Longitude,LstPrice,Patio,PkgSpacs,PropType,SoldPrice,Taxes,TotBed,TotBth,TotSqf,YearBlt
163,0.09,2.0,0,1,,40.774223,-111.875672,259900,0,0,Single Family,260000,1373,3.0,1.0,"1,390",1910
164,0.11,,2,2,,40.7706,-111.862936,550000,0,0,Single Family,550000,2368,4.0,3.0,"2,747",1901
165,0.24,52.0,3,2,,40.772564,-111.849572,799900,0,4,Single Family,785000,6645,4.0,4.0,"4,360",1921
166,0.1,29.0,0,0,,40.785404,-111.900512,224900,0,3,Single Family,233700,935,4.0,2.0,"1,564",1910
167,0.08,9.0,0,0,,40.779346000000004,-111.872221,264900,0,0,Single Family,260000,1804,2.0,1.0,"1,872",1906
168,0.01,3.0,0,0,90.0,40.783421000000004,-111.898053,142000,1,2,Condo,142000,1160,2.0,1.0,747,1961
169,0.23,28.0,1,0,,40.783512,-111.89563799999999,239000,1,3,Single Family,220000,1450,4.0,1.0,"2,006",1891
170,0.15,58.0,0,1,,40.774311,-111.864081,389900,0,0,Single Family,384900,1885,3.0,2.0,"1,773",1937
171,0.2,137.0,1,2,,40.785466,-111.87496399999999,495000,0,0,Single Family,495000,3916,2.0,2.0,"2,280",1973
172,0.01,38.0,0,1,195.0,40.772834,-111.865579,239900,0,0,Condo,235000,1539,2.0,1.0,"1,298",1978
173,0.32,95.0,5,2,,40.788587,-111.86448100000001,675000,0,4,Single Family,565000,4263,4.0,3.0,"5,268",1986
174,0.18,5.0,0,2,,40.781028000000006,-111.890652,474900,0,0,Single Family,470000,1472,3.0,3.0,"2,643",2015
175,0.06,26.0,0,1,,40.771507,-111.866832,299900,1,0,Single Family,295900,1705,2.0,1.0,"1,536",1900
176,0.01,51.0,1,1,349.0,40.774001,-111.892032,195000,0,0,Condo,165000,2176,1.0,2.0,"1,200",1976
177,0.08,19.0,2,0,,40.775774,-111.874599,489800,0,3,Single Family,463000,3796,3.0,4.0,"3,590",1910
178,0.16,4.0,0,0,,40.783673,-111.894778,199900,0,0,Single Family,190000,1092,3.0,1.0,"2,404",1898
179,0.0,98.0,1,1,172.0,40.770223,-111.864094,131900,0,0,Condo,126900,1000,1.0,1.0,645,1977
180,0.13,61.0,1,1,,40.783059,-111.873883,449900,0,4,Single Family,427000,2280,3.0,2.0,"1,804",1939
181,0.31,,0,2,,40.78768,-111.87126,550000,0,4,Single Family,550000,4712,3.0,3.0,"3,996",1973
182,0.01,111.0,1,1,348.0,40.774001,-111.892032,235000,0,0,Condo,225000,1972,1.0,2.0,"1,200",1976
183,0.28,7.0,1,2,,40.789056,-111.874032,555000,0,0,Single Family,520000,3358,4.0,3.0,"3,084",1963
184,0.01,72.0,0,0,95.0,40.783226,-111.898673,129900,0,1,Condo,128000,330,2.0,1.0,747,1961
185,0.12,121.0,1,0,,40.771324,-111.864056,465000,1,3,Single Family,465000,2217,4.0,4.0,"2,980",1895
186,0.39,90.0,1,2,,40.78103,-111.84554399999999,799900,2,0,Single Family,756500,5265,5.0,3.0,"3,780",1965
187,0.65,40.0,2,3,,40.787163,-111.888924,974900,1,0,Single Family,877000,6461,3.0,5.0,"6,524",1977
188,0.06,35.0,0,0,,40.783563,-111.894535,350000,1,0,Single Family,338500,2760,3.0,3.0,"2,432",1896
189,0.1,25.0,1,0,,40.779336,-111.873406,324900,1,2,Single Family,326900,1883,3.0,1.0,"1,621",1911
190,0.11,15.0,2,1,,40.780589,-111.87268200000001,599000,0,2,Single Family,570000,3327,4.0,2.0,"2,905",1906
191,0.01,13.0,0,0,144.0,40.779415,-111.89396599999999,104900,0,0,Condo,104900,792,1.0,1.0,675,1972
192,0.09,99.0,1,0,,40.777951,-111.876099,485000,1,0,Single Family,460000,2405,4.0,2.0,"1,842",1915
193,0.0,145.0,0,1,528.0,40.772276,-111.886521,252000,0,0,Condo,250000,1897,2.0,2.0,"1,167",1976
194,0.01,93.0,1,1,348.0,40.774253,-111.892928,230000,0,0,Condo,225000,2045,2.0,2.0,"1,200",1976
195,0.05,4.0,1,0,,40.771389,-111.863767,245900,0,0,Single Family,246000,2070,2.0,1.0,"1,004",1896
196,0.08,1.0,1,0,,40.775513000000004,-111.864065,298500,1,1,Single Family,308000,2747,3.0,2.0,"1,892",1915
197,0.37,73.0,0,4,,40.787345,-111.866973,725000,1,0,Single Family,692950,6343,5.0,4.0,"5,098",1971
198,0.03,98.0,0,2,250.0,40.779649,-111.878546,445000,0,0,Condo,429900,3505,3.0,4.0,"2,546",1998
199,0.16,55.0,0,0,,40.778117,-111.89195600000001,465000,1,0,Single Family,448000,1810,4.0,3.0,"2,282",1916
0,0.48,105.0,2,2,,40.786791,-111.86267,699000,2,0,Single Family,680000,4887,5.0,3.0,"3,868",1970
1,0.33,5.0,0,2,,40.774029999999996,-111.845674,760000,0,0,Single Family,745000,5874,3.0,3.0,"2,631",1972
2,0.01,10.0,0,1,228.0,40.770905,-111.886101,273000,2,0,Condo,275000,2383,2.0,3.0,"1,259",1979
3,0.65,20.0,3,2,,40.789159999999995,-111.866459,715000,1,0,Single Family,705000,4745,4.0,3.0,"3,758",1979
4,0.11,4.0,1,2,,40.784498,-111.87334399999999,439900,1,0,Single Family,461000,2983,3.0,2.0,"2,496",1953
5,0.01,2.0,1,0,95.0,40.783421000000004,-111.898053,145000,0,0,Condo,135000,1026,2.0,1.0,826,1961
6,0.01,,0,0,90.0,40.783421000000004,-111.898053,142000,0,0,Condo,142000,1158,2.0,1.0,740,1961
7,0.27,26.0,1,4,,40.789426,-111.89198700000001,999900,1,0,Single Family,960000,6624,6.0,4.0,"6,008",1994
8,0.15,50.0,1,1,,40.769424,-111.84988999999999,645000,1,0,Single Family,625000,4756,3.0,4.0,"3,400",1911
9,0.01,15.0,0,0,237.0,40.77864,-111.893864,89900,1,0,Condo,89900,796,1.0,1.0,582,1972
10,0.35,143.0,0,2,,40.774299,-111.84574599999999,899000,2,0,Single Family,859000,6679,5.0,3.0,"4,432",1970
11,0.01,224.0,0,1,329.0,40.773058,-111.88447,595000,0,0,Condo,570000,3133,2.0,2.0,"2,098",1985
12,0.16,161.0,0,2,,40.776153,-111.89375700000001,449900,0,6,Single Family,335000,2500,4.0,4.0,"2,066",1876
13,0.14,65.0,0,2,,40.780552,-111.898075,325000,1,0,Single Family,318000,1686,3.0,1.0,"1,735",1913
14,0.08,11.0,1,0,,40.774213,-111.882267,349900,1,0,Single Family,367000,1350,5.0,2.0,"2,361",1896
15,0.01,10.0,1,2,,40.784859999999995,-111.90006799999999,325000,0,0,Townhouse,321500,1940,3.0,4.0,"1,854",2007
16,0.01,4.0,0,0,90.0,40.783421000000004,-111.898053,140000,1,1,Condo,140000,1160,2.0,1.0,740,1961
17,0.01,88.0,3,2,610.0,40.786,-111.878905,489000,0,2,Condo,460000,4100,4.0,3.0,"3,882",1983
18,0.23,20.0,0,2,,40.785182,-111.865673,498000,0,0,Single Family,487000,3504,4.0,3.0,"2,727",1975
19,0.11,2.0,0,1,,40.772208,-111.870072,298500,1,0,Single Family,300000,2100,2.0,2.0,"2,031",1900
20,0.1,6.0,0,0,,40.778772,-111.877025,324900,1,1,Single Family,324900,1958,2.0,1.0,"1,832",1907
21,0.29,6.0,1,3,,40.78949,-111.891625,830000,1,0,Single Family,820000,7061,5.0,4.0,"4,864",1992
22,0.1,226.0,1,0,,40.772541,-111.865889,359800,1,2,Single Family,362600,1358,3.0,3.0,"3,101",1909
23,0.0,7.0,1,0,230.0,40.778849,-111.89394399999999,119900,0,1,Condo,119900,875,,1.0,670,1972
24,0.12,10.0,0,1,,40.771963,-111.867473,310000,1,0,Single Family,315000,2683,2.0,2.0,"1,550",1925
25,0.17,206.0,0,2,,40.773466,-111.874094,699990,2,8,Single Family,665000,1600,3.0,2.0,"2,803",1900
26,0.25,117.0,0,0,,40.773485,-111.864047,499900,0,2,Single Family,451000,2769,5.0,4.0,"3,865",1870
27,0.11,34.0,0,1,,40.784781,-111.89768000000001,225000,1,5,Single Family,225000,1266,1.0,1.0,"1,031",1926
28,0.01,29.0,0,0,310.0,40.770454,-111.854868,282500,1,1,Condo,278000,1370,2.0,1.0,"1,332",1907
29,0.05,,0,2,335.0,40.780454999999996,-111.877274,520000,1,0,Townhouse,520000,2965,3.0,3.0,"1,999",1987
30,0.1,11.0,0,1,,40.779574,-111.866707,329500,1,0,Single Family,325000,2207,3.0,2.0,"1,668",1941
31,0.07,4.0,0,2,,40.775484000000006,-111.895858,319900,1,0,Single Family,320000,1317,4.0,2.0,"1,552",1976
32,0.01,10.0,1,1,463.0,40.771409999999996,-111.91364499999999,219900,0,0,Condo,205000,1200,2.0,2.0,"1,137",1964
33,0.09,3.0,1,1,,40.7783,-111.86679099999999,525000,1,0,Single Family,525900,2770,4.0,3.0,"2,434",1939
34,0.04,6.0,2,2,85.0,40.785647999999995,-111.900301,315000,1,0,Single Family,305000,926,2.0,3.0,"1,674",2013
35,0.08,13.0,0,0,,40.774869,-111.87208999999999,299000,1,3,Single Family,277000,2156,1.0,2.0,"2,052",1914
36,0.06,10.0,1,0,,40.775988,-111.875023,295000,0,0,Single Family,305000,1200,2.0,2.0,862,1900
37,0.11,42.0,0,2,,40.770503000000005,-111.850825,649900,1,0,Single Family,629400,4034,4.0,3.0,"2,738",1935
38,2.11,,0,3,875.0,40.796784,-111.881308,2125000,0,0,Single Family,2125000,15276,4.0,7.0,"7,962",2007
39,0.13,13.0,0,2,,40.771963,-111.862068,529900,1,0,Single Family,520000,2904,4.0,2.0,"2,595",1908
40,0.08,,1,1,,40.772003999999995,-111.86438000000001,259500,1,0,Single Family,261500,2390,2.0,2.0,"1,683",1911
41,0.16,106.0,0,0,,40.776957,-111.88073600000001,369000,1,3,Single Family,335000,2706,4.0,4.0,"2,872",1899
42,0.11,17.0,1,1,,40.779885,-111.868048,379900,1,1,Single Family,379900,1798,4.0,2.0,"1,932",1941
43,0.01,58.0,0,0,350.0,40.771314000000004,-111.881625,99900,0,0,Condo,90000,873,1.0,1.0,500,1928
44,0.0,73.0,1,1,446.0,40.774195,-111.89073300000001,219900,0,0,Condo,213000,1695,2.0,2.0,"1,182",1962
45,0.01,5.0,1,0,249.0,40.7706,-111.87291299999998,180000,0,1,Condo,186000,1100,2.0,1.0,852,1912
46,0.31,152.0,0,3,,40.783152,-111.848003,950000,0,0,Single Family,915000,6945,5.0,5.0,"5,054",1986
47,0.01,7.0,0,2,335.0,40.780485,-111.877028,465000,1,0,Townhouse,455000,3606,2.0,3.0,"1,991",1987
48,0.22,5.0,0,0,,40.784437,-111.871785,470000,1,0,Single Family,460000,3358,4.0,2.0,"2,550",1950
49,0.08,63.0,1,1,,40.774045,-111.871599,387900,1,2,Single Family,377500,3933,3.0,2.0,"2,779",1925
50,0.12,72.0,2,0,,40.780352,-111.86745400000001,419500,1,2,Single Family,400000,2700,3.0,3.0,"1,918",1939
51,0.26,23.0,1,0,,40.780217,-111.847121,550000,0,0,Single Family,525000,4271,4.0,3.0,"2,940",1977
52,0.33,61.0,0,2,,40.790568,-111.863808,1295000,0,0,Single Family,1186700,4430,5.0,4.0,"6,457",1968
53,0.01,43.0,3,2,435.0,40.77466,-111.893152,189900,0,0,Condo,185000,1860,2.0,2.0,"1,450",1974
54,0.01,111.0,1,2,454.0,40.77228,-111.88696599999999,225000,0,0,Condo,218000,1748,2.0,2.0,"1,110",1976
55,0.13,13.0,0,2,,40.772303,-111.86445900000001,419000,1,0,Single Family,414400,3469,3.0,2.0,"2,351",1906
56,0.01,145.0,0,0,90.0,40.783421000000004,-111.898053,138500,0,0,Condo,135000,1158,2.0,1.0,740,1961
57,0.01,37.0,0,1,217.0,40.770773,-111.8861,289900,2,2,Condo,277500,1998,2.0,2.0,"1,380",1979
58,0.11,12.0,2,2,,40.781755,-111.88751200000002,524900,1,3,Single Family,517000,4273,3.0,3.0,"2,265",1954
59,0.01,90.0,0,0,289.0,40.775431,-111.873783,179900,0,1,Condo,179900,1463,2.0,2.0,"1,100",1968
60,0.14,44.0,1,0,,40.783339,-111.895229,299900,1,2,Single Family,295000,1246,2.0,2.0,"2,075",1890
61,0.36,192.0,3,5,,40.77543,-111.84308300000001,849900,0,0,Single Family,800000,7395,8.0,6.0,"6,447",1978
